city,country,R2019,num,R2020,index
Beijing,China,1.81153685307,7/1,1.7802354058968393,343
Beijing,China,1.73924083955,7/10,1.7802354058968393,344
Beijing,China,1.66227082865,7/20,,345
Beijing,China,1.64240067176,8/1,,346
Beijing,China,1.79526861205,8/10,,347
Beijing,China,1.88258766791,8/20,,348
Beijing,China,1.82370613631,9/1,,349
Beijing,China,1.87134033379,9/10,,350
Beijing,China,1.85421698698,9/20,,351
Beijing,China,1.97032245891,10/1,,352
Beijing,China,2.00744958772,10/10,,353
Beijing,China,2.14701880479,10/20,,354
Beijing,China,2.07755616505,11/1,,355
Beijing,China,2.3588787544,11/10,,356
Beijing,China,2.41080806845,11/20,,357
Beijing,China,2.41822517908,12/1,,358
Beijing,China,2.46231375227,12/10,,359
Beijing,China,2.47174717854,12/20,,360
Belem,Brazil,1.6080747939,1/1,1.600071558282698,361
Belem,Brazil,1.60965095766,1/10,1.6068124465111158,362
Belem,Brazil,1.59982316542,1/20,1.6013705611210163,363
Belem,Brazil,1.59801214319,2/1,1.6028798544696832,364
Belem,Brazil,1.58163139884,2/10,1.5877901065562812,365
Belem,Brazil,1.59368210537,2/20,1.5934783110718753,366
Belem,Brazil,1.60468386347,3/1,1.601119659240341,367
Belem,Brazil,1.58882559292,3/10,1.7948279757015704,368
Belem,Brazil,1.58323581595,3/20,1.6022336163771074,369
Belem,Brazil,1.57792514002,4/1,1.578810277178085,370
Belem,Brazil,1.589151386,4/10,1.592010728114341,371
Belem,Brazil,1.5905931808,4/20,1.6070940191884446,372
Belem,Brazil,1.59941785353,5/1,1.5897083124218256,373
Belem,Brazil,1.5844526907,5/10,1.606267683051081,374
Belem,Brazil,1.60259991557,5/20,1.6083086265166624,375
Belem,Brazil,1.6124054226,6/1,1.6133355203959658,376
Belem,Brazil,1.61557215872,6/10,1.621964990234229,377
Belem,Brazil,1.63698873204,6/20,1.6336454535689569,378
Belem,Brazil,1.63956009079,7/1,1.619643041923283,379
Belem,Brazil,1.6372978644,7/10,1.619643041923283,380
Belem,Brazil,1.64956973875,7/20,,381
Belem,Brazil,1.65074582613,8/1,,382
Belem,Brazil,1.65852185895,8/10,,383
Belem,Brazil,1.64077112997,8/20,,384
Belem,Brazil,1.64381651172,9/1,,385
Belem,Brazil,1.64858912865,9/10,,386
Belem,Brazil,1.65300950346,9/20,,387
Belem,Brazil,1.65731317807,10/1,,388
Belem,Brazil,1.64073318827,10/10,,389
Belem,Brazil,1.63795354287,10/20,,390
Belem,Brazil,1.63338353764,11/1,,391
Belem,Brazil,1.63188025703,11/10,,392
Belem,Brazil,1.63682135987,11/20,,393
Belem,Brazil,1.65073000664,12/1,,394
Belem,Brazil,1.61236977005,12/10,,395
Belem,Brazil,1.59571350766,12/20,,396
Belfast,Northern Ireland,1.99904721238,1/1,1.963938285926464,397
Belfast,Northern Ireland,1.9711195009,1/10,2.009135208562243,398
Belfast,Northern Ireland,2.01822270433,1/20,1.9616127178478975,399
Belfast,Northern Ireland,2.03265012245,2/1,1.9993371245412623,400
Belfast,Northern Ireland,1.96290442567,2/10,2.0162563323699345,401
Belfast,Northern Ireland,1.9224610197,2/20,2.017410086427019,402
Belfast,Northern Ireland,1.98849133377,3/1,2.0203158195209547,403
Belfast,Northern Ireland,1.99983593112,3/10,2.012395290045967,404
Belfast,Northern Ireland,2.01426304606,3/20,2.053345113772023,405
Belfast,Northern Ireland,2.00617307457,4/1,1.9992224279028794,406
Belfast,Northern Ireland,2.02897743,4/10,2.019467654737317,407
Belfast,Northern Ireland,1.93799280178,4/20,2.0204312683296077,408
Belfast,Northern Ireland,2.02063336206,5/1,1.9757721341271717,409
Belfast,Northern Ireland,2.01583363399,5/10,2.0399115448572016,410
Belfast,Northern Ireland,1.91954409191,5/20,1.9883680484848139,411
Belfast,Northern Ireland,1.89101195076,6/1,2.0038305073750027,412
Belfast,Northern Ireland,1.91696525111,6/10,1.8503139501269292,413
Belfast,Northern Ireland,1.87671080883,6/20,1.8387477623785984,414
Belfast,Northern Ireland,1.89800868561,7/1,1.8606090192327418,415
Belfast,Northern Ireland,1.81749926826,7/10,1.8606090192327418,416
Belfast,Northern Ireland,1.79721755597,7/20,,417
Belfast,Northern Ireland,1.79562046725,8/1,,418
Belfast,Northern Ireland,1.85664141294,8/10,,419
Belfast,Northern Ireland,1.82286908531,8/20,,420
Belfast,Northern Ireland,1.86847737271,9/1,,421
Belfast,Northern Ireland,1.89288012495,9/10,,422
Belfast,Northern Ireland,1.80953892041,9/20,,423
Belfast,Northern Ireland,1.89895241643,10/1,,424
Belfast,Northern Ireland,1.89585517532,10/10,,425
Belfast,Northern Ireland,1.98158324044,10/20,,426
Belfast,Northern Ireland,1.9325574966,11/1,,427
Belfast,Northern Ireland,2.01260589595,11/10,,428
Belfast,Northern Ireland,1.93057510426,11/20,,429
Belfast,Northern Ireland,1.96860735795,12/1,,430
Belfast,Northern Ireland,1.98134248602,12/10,,431
Belfast,Northern Ireland,1.92147184018,12/20,,432
Belgrade,Serbia,2.14914492771,1/1,2.139402305955292,433
Belgrade,Serbia,2.15941958965,1/10,2.1102163184442224,434
Belgrade,Serbia,2.0785657542,1/20,2.116453648424994,435
Belgrade,Serbia,2.07578622971,2/1,2.1325438224341617,436
Belgrade,Serbia,2.11398701491,2/10,2.093399076198499,437
Belgrade,Serbia,2.24372673188,2/20,2.162177416738376,438
Belgrade,Serbia,2.1178075949,3/1,2.0506145485398273,439
Belgrade,Serbia,2.14020846985,3/10,2.1436514991696263,440
Belgrade,Serbia,2.20908277904,3/20,2.1925795035233104,441
Belgrade,Serbia,2.12994768771,4/1,2.2538600205352473,442
Belgrade,Serbia,1.97103316194,4/10,2.1255092590803253,443
Belgrade,Serbia,2.00190917528,4/20,2.088001560078537,444
Belgrade,Serbia,1.95446881347,5/1,2.010780323388439,445
Belgrade,Serbia,1.90943324231,5/10,1.9338325888509371,446
Belgrade,Serbia,1.85458701184,5/20,1.9435267763322488,447
Belgrade,Serbia,1.77364959819,6/1,1.8759815112917861,448
Belgrade,Serbia,1.76426384956,6/10,1.8038598872332217,449
